"ZipCode","Borough","MODZCTA","MappingStatus"
"10001","Manhattan","10001","Mapped via DOHMH statistical geography"
"10002","Manhattan","10002","Mapped via DOHMH statistical geography"
"10003","Manhattan","10003","Mapped via DOHMH statistical geography"
"10004","Manhattan","10004","Mapped via DOHMH statistical geography"
"10005","Manhattan","10005","Mapped via DOHMH statistical geography"
"10006","Manhattan","10006","Mapped via DOHMH statistical geography"
"10007","Manhattan","10007","Mapped via DOHMH statistical geography"
"10009","Manhattan","10009","Mapped via DOHMH statistical geography"
"10010","Manhattan","10010","Mapped via DOHMH statistical geography"
"10011","Manhattan","10011","Mapped via DOHMH statistical geography"
"10012","Manhattan","10012","Mapped via DOHMH statistical geography"
"10013","Manhattan","10013","Mapped via DOHMH statistical geography"
"10014","Manhattan","10014","Mapped via DOHMH statistical geography"
"10016","Manhattan","10016","Mapped via DOHMH statistical geography"
"10017","Manhattan","10017","Mapped via DOHMH statistical geography"
"10018","Manhattan","10018","Mapped via DOHMH statistical geography"
"10019","Manhattan","10019","Mapped via DOHMH statistical geography"
"10020","Manhattan","10019","Mapped via DOHMH statistical geography"
"10021","Manhattan","10021","Mapped via DOHMH statistical geography"
"10022","Manhattan","10022","Mapped via DOHMH statistical geography"
"10023","Manhattan","10023","Mapped via DOHMH statistical geography"
"10024","Manhattan","10024","Mapped via DOHMH statistical geography"
"10025","Manhattan","10025","Mapped via DOHMH statistical geography"
"10026","Manhattan","10026","Mapped via DOHMH statistical geography"
"10027","Manhattan","10027","Mapped via DOHMH statistical geography"
"10028","Manhattan","10028","Mapped via DOHMH statistical geography"
"10029","Manhattan","10029","Mapped via DOHMH statistical geography"
"10030","Manhattan","10030","Mapped via DOHMH statistical geography"
"10031","Manhattan","10031","Mapped via DOHMH statistical geography"
"10032","Manhattan","10032","Mapped via DOHMH statistical geography"
"10033","Manhattan","10033","Mapped via DOHMH statistical geography"
"10034","Manhattan","10034","Mapped via DOHMH statistical geography"
"10035","Manhattan","10035","Mapped via DOHMH statistical geography"
"10036","Manhattan","10036","Mapped via DOHMH statistical geography"
"10037","Manhattan","10037","Mapped via DOHMH statistical geography"
"10038","Manhattan","10038","Mapped via DOHMH statistical geography"
"10039","Manhattan","10039","Mapped via DOHMH statistical geography"
"10040","Manhattan","10040","Mapped via DOHMH statistical geography"
"10044","Manhattan","10044","Mapped via DOHMH statistical geography"
"10065","Manhattan","10065","Mapped via DOHMH statistical geography"
"10069","Manhattan","10069","Mapped via DOHMH statistical geography"
"10075","Manhattan","10075","Mapped via DOHMH statistical geography"
"10103","Manhattan","10019","Mapped via DOHMH statistical geography"
"10110","Manhattan","10036","Mapped via DOHMH statistical geography"
"10111","Manhattan","10019","Mapped via DOHMH statistical geography"
"10112","Manhattan","10019","Mapped via DOHMH statistical geography"
"10115","Manhattan","10027","Mapped via DOHMH statistical geography"
"10119","Manhattan","10001","Mapped via DOHMH statistical geography"
"10128","Manhattan","10128","Mapped via DOHMH statistical geography"
"10152","Manhattan","10022","Mapped via DOHMH statistical geography"
"10153","Manhattan","10022","Mapped via DOHMH statistical geography"
"10154","Manhattan","10022","Mapped via DOHMH statistical geography"
"10162","Manhattan","10075","Mapped via DOHMH statistical geography"
"10165","Manhattan","10017","Mapped via DOHMH statistical geography"
"10167","Manhattan","10017","Mapped via DOHMH statistical geography"
"10168","Manhattan","10017","Mapped via DOHMH statistical geography"
"10169","Manhattan","10017","Mapped via DOHMH statistical geography"
"10170","Manhattan","10017","Mapped via DOHMH statistical geography"
"10171","Manhattan","10017","Mapped via DOHMH statistical geography"
"10172","Manhattan","10017","Mapped via DOHMH statistical geography"
"10173","Manhattan","10017","Mapped via DOHMH statistical geography"
"10174","Manhattan","10017","Mapped via DOHMH statistical geography"
"10177","Manhattan","10017","Mapped via DOHMH statistical geography"
"10199","Manhattan","10001","Mapped via DOHMH statistical geography"
"10271","Manhattan","10005","Mapped via DOHMH statistical geography"
"10278","Manhattan","10007","Mapped via DOHMH statistical geography"
"10279","Manhattan","10007","Mapped via DOHMH statistical geography"
"10280","Manhattan","10280","Mapped via DOHMH statistical geography"
"10282","Manhattan","10282","Mapped via DOHMH statistical geography"
"10301","Staten Island","10301","Mapped via DOHMH statistical geography"
"10302","Staten Island","10302","Mapped via DOHMH statistical geography"
"10303","Staten Island","10303","Mapped via DOHMH statistical geography"
"10304","Staten Island","10304","Mapped via DOHMH statistical geography"
"10305","Staten Island","10305","Mapped via DOHMH statistical geography"
"10306","Staten Island","10306","Mapped via DOHMH statistical geography"
"10307","Staten Island","10307","Mapped via DOHMH statistical geography"
"10308","Staten Island","10308","Mapped via DOHMH statistical geography"
"10309","Staten Island","10309","Mapped via DOHMH statistical geography"
"10310","Staten Island","10310","Mapped via DOHMH statistical geography"
"10311","Staten Island","10314","Mapped via DOHMH statistical geography"
"10312","Staten Island","10312","Mapped via DOHMH statistical geography"
"10314","Staten Island","10314","Mapped via DOHMH statistical geography"
"10451","Bronx","10451","Mapped via DOHMH statistical geography"
"10452","Bronx","10452","Mapped via DOHMH statistical geography"
"10453","Bronx","10453","Mapped via DOHMH statistical geography"
"10454","Bronx","10454","Mapped via DOHMH statistical geography"
"10455","Bronx","10455","Mapped via DOHMH statistical geography"
"10456","Bronx","10456","Mapped via DOHMH statistical geography"
