rank,name,count,national_rank,in_national_top_100
1,Bella,8899,2.0,True
2,Luna,7360,1.0,True
3,Max,7341,5.0,True
4,Charlie,6462,3.0,True
5,Coco,6261,9.0,True
6,Lola,5383,11.0,True
7,Rocky,5118,15.0,True
8,Milo,4770,7.0,True
9,Teddy,4693,12.0,True
10,Lucy,4628,6.0,True
11,Daisy,4379,4.0,True
12,Lucky,4033,80.0,True
13,Buddy,4010,19.0,True
14,Bailey,3898,10.0,True
15,Toby,3472,51.0,True
16,Leo,3274,24.0,True
17,Princess,3225,,False
18,Chloe,3165,49.0,True
19,Oliver,2988,38.0,True
20,Penny,2966,17.0,True
