rank,name,count
1,Bella,8899
2,Luna,7360
3,Max,7341
4,Charlie,6462
5,Coco,6261
6,Lola,5383
7,Rocky,5118
8,Milo,4770
9,Teddy,4693
10,Lucy,4628
11,Daisy,4379
12,Lucky,4033
13,Buddy,4010
14,Bailey,3898
15,Toby,3472
16,Leo,3274
17,Princess,3225
18,Chloe,3165
19,Oliver,2988
20,Penny,2966
21,Cooper,2933
22,Mia,2861
23,Oreo,2806
24,Molly,2795
25,Rosie,2586
26,Lily,2564
27,Stella,2527
28,Ruby,2484
29,Cookie,2475
30,Jack,2474
31,Prince,2298
32,Lulu,2292
33,Sophie,2223
34,Maggie,2168
35,Ginger,2145
36,Blue,2115
37,Riley,2113
38,Bruno,2103
39,Pepper,2097
40,Benji,2035
41,Bear,1976
42,Sadie,1887
43,Zoey,1848
44,Gizmo,1818
45,Lady,1818
46,Louie,1795
47,Roxy,1766
48,Frankie,1758
49,Ollie,1756
50,Cody,1692
