name,status,earliest_bucket,earliest_bucket_count,latest_bucket,latest_bucket_count
Coco,classic,1990-1994,1,2025-2029,27
Luna,emerging,1990-1994,0,2025-2029,33
Coco,emerging,1990-1994,1,2025-2029,27
Milo,emerging,1990-1994,0,2025-2029,23
Teddy,emerging,1990-1994,0,2025-2029,21
Charlie,emerging,1990-1994,0,2025-2029,18
Cookie,emerging,1990-1994,0,2025-2029,15
Leo,emerging,1990-1994,0,2025-2029,15
Rocky,emerging,1990-1994,0,2025-2029,15
Archie,emerging,1990-1994,0,2025-2029,13
Bella,emerging,1990-1994,0,2025-2029,13
Toby,emerging,1990-1994,0,2025-2029,13
Lucy,emerging,1990-1994,0,2025-2029,12
Honey,emerging,1990-1994,0,2025-2029,11
Max,emerging,1990-1994,0,2025-2029,11
Mochi,emerging,1990-1994,0,2025-2029,11
Rosie,emerging,1990-1994,0,2025-2029,11
Cooper,emerging,1990-1994,0,2025-2029,10
Louie,emerging,1990-1994,0,2025-2029,10
Mia,emerging,1990-1994,0,2025-2029,10
Pepper,emerging,1990-1994,0,2025-2029,10
