birth_bucket,rank,animal_name,count
1990-1994,1,Toccata,10
1990-1994,2,Diegoo,10
1990-1994,3,Trey,8
1990-1994,4,Zack,5
1990-1994,5,Darla,4
1990-1994,6,Diamond,3
1990-1994,7,Nicky,3
1990-1994,8,Oliver,2
1990-1994,9,Mozzarella,2
1990-1994,10,Lola,2
1995-1999,1,Max,18
1995-1999,2,Peanut,14
1995-1999,3,Bonnie,14
1995-1999,4,Maggie,13
1995-1999,5,Buddy,12
1995-1999,6,Rocky,12
1995-1999,7,Coco,11
1995-1999,8,Daisy,10
1995-1999,9,Lucky,9
1995-1999,10,Cookie,8
2000-2004,1,Max,263
2000-2004,2,Buddy,223
2000-2004,3,Coco,208
2000-2004,4,Lucy,202
2000-2004,5,Rocky,192
2000-2004,6,Lucky,177
2000-2004,7,Charlie,176
2000-2004,8,Daisy,175
2000-2004,9,Princess,168
2000-2004,10,Bella,164
2005-2009,1,Max,1431
2005-2009,2,Bella,1336
2005-2009,3,Rocky,1009
2005-2009,4,Coco,955
2005-2009,5,Charlie,947
2005-2009,6,Lucky,900
2005-2009,7,Lola,883
2005-2009,8,Buddy,774
2005-2009,9,Daisy,769
2005-2009,10,Lucy,756
2010-2014,1,Bella,2877
2010-2014,2,Max,2044
2010-2014,3,Charlie,1884
2010-2014,4,Coco,1745
2010-2014,5,Lola,1620
2010-2014,6,Lucy,1532
2010-2014,7,Rocky,1416
2010-2014,8,Lucky,1282
2010-2014,9,Buddy,1279
2010-2014,10,Luna,1263
2015-2019,1,Luna,3143
2015-2019,2,Bella,2966
2015-2019,3,Max,2442
2015-2019,4,Charlie,2220
2015-2019,5,Coco,1868
2015-2019,6,Lola,1856
2015-2019,7,Teddy,1725
2015-2019,8,Milo,1673
2015-2019,9,Rocky,1613
2015-2019,10,Lucy,1438
2020-2024,1,Luna,2461
2020-2024,2,Milo,1795
2020-2024,3,Bella,1536
2020-2024,4,Coco,1446
2020-2024,5,Teddy,1228
2020-2024,6,Charlie,1211
2020-2024,7,Max,1131
2020-2024,8,Leo,886
2020-2024,9,Lola,874
2020-2024,10,Rocky,859
2025-2029,1,Luna,33
2025-2029,2,Coco,27
2025-2029,3,Milo,23
2025-2029,4,Teddy,21
2025-2029,5,Charlie,18
2025-2029,6,Rocky,15
2025-2029,7,Leo,15
2025-2029,8,Cookie,15
2025-2029,9,Toby,13
2025-2029,10,Bella,13
