breed_name,animal_name,record_count
American Pit Bull Mix / Pit Bull Mix,Bella,266
American Pit Bull Mix / Pit Bull Mix,Blue,195
American Pit Bull Mix / Pit Bull Mix,Luna,165
American Pit Bull Mix / Pit Bull Mix,Rocky,155
American Pit Bull Mix / Pit Bull Mix,Lola,152
American Pit Bull Terrier/Pit Bull,Bella,220
American Pit Bull Terrier/Pit Bull,Blue,200
American Pit Bull Terrier/Pit Bull,King,182
American Pit Bull Terrier/Pit Bull,Luna,176
American Pit Bull Terrier/Pit Bull,Rocky,149
Chihuahua,Coco,344
Chihuahua,Bella,337
Chihuahua,Lola,291
Chihuahua,Princess,279
Chihuahua,Lucky,226
Labrador Retriever,Luna,258
Labrador Retriever,Bella,233
Labrador Retriever,Charlie,223
Labrador Retriever,Max,219
Labrador Retriever,Bailey,198
Labrador Retriever Crossbreed,Luna,274
Labrador Retriever Crossbreed,Bella,208
Labrador Retriever Crossbreed,Charlie,202
Labrador Retriever Crossbreed,Lucy,164
Labrador Retriever Crossbreed,Buddy,152
Maltese,Bella,365
Maltese,Coco,323
Maltese,Max,286
Maltese,Lucky,259
Maltese,Princess,197
Pomeranian,Teddy,184
Pomeranian,Coco,181
Pomeranian,Bella,154
Pomeranian,Pom,142
Pomeranian,Foxy,132
Shih Tzu,Bella,689
Shih Tzu,Max,649
Shih Tzu,Oreo,640
Shih Tzu,Coco,562
Shih Tzu,Gizmo,448
Shih Tzu Crossbreed,Teddy,364
Shih Tzu Crossbreed,Bella,243
Shih Tzu Crossbreed,Coco,234
Shih Tzu Crossbreed,Luna,214
Shih Tzu Crossbreed,Oreo,200
Yorkshire Terrier,Bella,832
Yorkshire Terrier,Coco,623
Yorkshire Terrier,Max,608
Yorkshire Terrier,Rocky,431
Yorkshire Terrier,Prince,374
